Image Name,Score
Aphid_40_00_highspeed_halfsubmerged_frame_6.jpg,5.1713
Aphid_40_00_highspeed_halfsubmerged_frame_7.jpg,5.4152
Aphid_40_00_highspeed_halfsubmerged_frame_8.jpg,5.4253
Aphid_40_00_highspeed_halfsubmerged_frame_9.jpg,5.3275
Aphid_40_00_lowspeed_frame_1.jpg,5.3614
Aphid_40_00_lowspeed_frame_10.jpg,4.9453
Aphid_40_00_lowspeed_frame_11.jpg,4.9852
Aphid_40_00_lowspeed_frame_12.jpg,4.9223
Aphid_40_00_lowspeed_frame_13.jpg,4.7902
Aphid_40_00_lowspeed_frame_14.jpg,4.9153
Aphid_40_00_lowspeed_frame_15.jpg,4.7788
Aphid_40_00_lowspeed_frame_16.jpg,4.5893
Aphid_40_00_lowspeed_frame_17.jpg,4.8337
Aphid_40_00_lowspeed_frame_18.jpg,4.6000
Aphid_40_00_lowspeed_frame_19.jpg,4.5935
Aphid_40_00_lowspeed_frame_2.jpg,4.5926
Aphid_40_00_lowspeed_frame_20.jpg,4.6288
Aphid_40_00_lowspeed_frame_21.jpg,4.6176
Aphid_40_00_lowspeed_frame_22.jpg,4.5463
Aphid_40_00_lowspeed_frame_23.jpg,4.4021
Aphid_40_00_lowspeed_frame_24.jpg,4.3778
Aphid_40_00_lowspeed_frame_25.jpg,4.3693
Aphid_40_00_lowspeed_frame_26.jpg,4.4178
Aphid_40_00_lowspeed_frame_3.jpg,4.9334
Aphid_40_00_lowspeed_frame_4.jpg,4.7274
Aphid_40_00_lowspeed_frame_5.jpg,4.8442
Aphid_40_00_lowspeed_frame_6.jpg,4.8974
Aphid_40_00_lowspeed_frame_7.jpg,4.9340
Aphid_40_00_lowspeed_frame_8.jpg,5.0330
Aphid_40_00_lowspeed_frame_9.jpg,4.9562
Aphid_40_00_lowspeed_halfsubmerged_frame_1.jpg,5.4204
Aphid_40_00_lowspeed_halfsubmerged_frame_10.jpg,4.8703
Aphid_40_00_lowspeed_halfsubmerged_frame_11.jpg,4.9575
