               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.029216,            0.074464,          3.4623e-08,             0.93475,             0.85607,             0.94522,             0.52923,            0.022918,            0.059708,          3.4896e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.029238,            0.072616,          3.4756e-08,             0.91994,              0.8247,             0.91035,              0.4572,            0.025959,            0.061667,          3.5337e-08,            0.009439,            0.009439,            0.009439
                  36,            0.030477,            0.075282,          3.4383e-08,             0.93727,             0.82869,             0.92298,             0.54814,            0.021946,            0.059623,          3.4437e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.030796,            0.073646,          3.4274e-08,             0.90568,             0.80478,              0.8889,             0.38462,            0.026926,            0.062502,          3.4661e-08,            0.009406,            0.009406,            0.009406
                  38,            0.030198,            0.073876,          3.4294e-08,             0.91975,             0.84064,             0.94019,             0.46973,            0.024977,            0.059603,           3.419e-08,           0.0093895,           0.0093895,           0.0093895
                  39,            0.030288,            0.072119,          3.4275e-08,             0.92624,              0.8505,              0.9209,             0.47936,            0.025079,            0.058017,          3.4696e-08,            0.009373,            0.009373,            0.009373
                  40,            0.028105,            0.070955,          3.4114e-08,             0.94082,              0.8551,             0.94371,              0.5698,            0.021684,            0.059304,           3.377e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.028677,            0.076308,          3.4011e-08,              0.9473,             0.85937,             0.93347,             0.45804,            0.026007,             0.06219,          3.4735e-08,             0.00934,             0.00934,             0.00934
                  42,            0.027183,            0.069498,          3.4291e-08,              0.9392,             0.86166,             0.94268,              0.4863,            0.024648,            0.059606,          3.4485e-08,           0.0093235,           0.0093235,           0.0093235
                  43,             0.02824,            0.068923,          3.4075e-08,             0.94629,             0.88446,             0.94788,             0.57834,            0.021864,            0.057548,          3.4207e-08,            0.009307,            0.009307,            0.009307
